Resort,Zip,Station,Station ID,Years,Visits,Average Snow Depth,Average High Temp,Average Low Temp,Average Median Temp
Snowbowl,59808,USS0015C10S,161,2003-2004,"65,065",79,32.40983607,22.59016393,27.03278689
Snowbowl,59808,USS0015C10S,161,2004-2005,"38,950",54,34.20661157,21.90909091,28.48760331
Snowbowl,59808,USS0015C10S,161,2005-2006,"61,933",96,30.7768595,19.95041322,25.23966942
Snowbowl,59808,USS0015C10S,161,2006-2007,"56,600",77,32.23966942,22,26.76859504
Snowbowl,59808,USS0015C10S,161,2007-2008,"66,548",109,29.16393443,19.03278689,23.93442623
Snowbowl,59808,USS0015C10S,161,2008-2009,"59,608",74,29.79338843,18.84297521,24.24793388
Snowbowl,59808,USS0015C10S,161,2009-2010,"50,986",51,32.43801653,21.40495868,27.38016529
Snowbowl,59808,USS0015C10S,161,2010-2011,"74,050",96,30.02479339,19.81818182,25.03305785
Snowbowl,59808,USS0015C10S,161,2011-2012,"63,854",88,31.25409836,21.55737705,26.45901639
Snowbowl,59808,USS0015C10S,161,2012-2013,"61,882",83,30.47107438,21.52066116,25.74380165
Snowbowl,59808,USS0015C10S,161,2013-2014,"61,970",89,29.03305785,18.92561983,24.11570248
Snowbowl,59808,USS0015C10S,161,2014-2015,"50,719",61,35.53719008,25.05785124,30.14876033
Snowbowl,59808,USS0015C10S,161,2015-2016,"56,480",71,32.77868852,23.99180328,28.22131148
Snowbowl,59808,USS0015C10S,161,2016-2017,"61,441",73,28.74380165,18.99173554,24
Snowbowl,59808,USS0015C10S,161,2017-2018,"67,050",93,30.60330579,21.4214876,25.9338843
Snowbowl,59808,USS0015C10S,161,2018-2019,"61,442",74,29.65,18.08333333,23.55
Snowbowl,59808,USS0015C10S,161,2019-2020,"54,910",78,30.81967213,21.81967213,26.12295082
Snowbowl,59808,USS0015C10S,161,2020-2021,"60,984",73,30.48760331,20.79338843,25.51239669
Whitefish,59937,USC00246218,218,1988-1989,"265,416",15,31.34710744,16.27272727,23.80991736
Whitefish,59937,USC00246218,218,1989-1990,"271,884",10,35.41322314,20.46280992,27.93801653
Whitefish,59937,USC00246218,218,1990-1991,"288,056",17,32.09243697,16.60504202,24.3487395
Whitefish,59937,USC00246218,218,1991-1992,"279,808",10,39.27868852,23.75409836,31.51639344
Whitefish,59937,USC00246218,218,1992-1993,"291,554",17,30.08264463,13.95041322,22.01652893
Whitefish,59937,USC00246218,218,1993-1994,"265,798",18,35.9338843,21.47107438,28.70247934
Whitefish,59937,USC00246218,218,1994-1995,"296,909",9,34.76859504,20.52892562,27.64876033
Whitefish,59937,USC00246218,218,1995-1996,"241,179",12,31.29508197,15.67213115,23.48360656
Whitefish,59937,USC00246218,218,1996-1997,"270,527",41,31.05785124,17.6446281,24.35123967
Whitefish,59937,USC00246218,218,1997-1998,"207,592",10,35.59504132,22.44628099,29.02066116
Whitefish,59937,USC00246218,218,1998-1999,"223,013",13,36.56198347,23.20661157,29.88429752
Whitefish,59937,USC00246218,218,1999-2000,"285,681",18,35.60655738,24.44262295,30.02459016
Whitefish,59937,USC00246218,218,2000-2001,"254,922",17,33.63636364,19.19008264,26.41322314
Whitefish,59937,USC00246218,218,2001-2002,"267,731",17,32.56198347,19.40495868,25.98347107
Whitefish,59937,USC00246218,218,2002-2003,"235,018",12,35.43801653,23.65289256,29.54545455
Whitefish,59937,USC00246218,218,2003-2004,"258,738",24,35.99180328,20.44262295,28.21721311
Whitefish,59937,USC00246218,218,2004-2005,"213,409",5,37.44628099,20.83471074,29.14049587
Whitefish,59937,USC00246218,218,2005-2006,"304,366",16,34.68595041,21.02479339,27.8553719
Whitefish,59937,USC00246218,218,2006-2007,"260,278",14,35.60330579,21.29752066,28.45041322
