Date,24 hr New Snow,Season Snowfall Total,Base Depth
25-Nov-12,28 cm,794 cm,66 cm
26-Nov-12,10 cm,804 cm,66 cm
29-Nov-12,5 cm,809 cm,61 cm
1-Dec-12,25 cm,834 cm,69 cm
2-Dec-12,8 cm,842 cm,84 cm
3-Dec-12,23 cm,865 cm,81 cm
4-Dec-12,3 cm,868 cm,89 cm
5-Dec-12,13 cm,881 cm,97 cm
6-Dec-12,15 cm,896 cm,102 cm
7-Dec-12,13 cm,909 cm,104 cm
8-Dec-12,33 cm,942 cm,84 cm
9-Dec-12,15 cm,957 cm,124 cm
10-Dec-12,5 cm,962 cm,117 cm
11-Dec-12,25 cm,987 cm,124 cm
12-Dec-12,5 cm,992 cm,122 cm
13-Dec-12,8 cm,1000 cm,109 cm
14-Dec-12,8 cm,1008 cm,109 cm
15-Dec-12,5 cm,1013 cm,109 cm
16-Dec-12,5 cm,1018 cm,102 cm
17-Dec-12,41 cm,1059 cm,102 cm
18-Dec-12,13 cm,1072 cm,137 cm
19-Dec-12,3 cm,1075 cm,137 cm
23-Dec-12,10 cm,1085 cm,127 cm
24-Dec-12,36 cm,1121 cm,112 cm
25-Dec-12,13 cm,1134 cm,127 cm
27-Dec-12,8 cm,1142 cm,127 cm
28-Dec-12,8 cm,1150 cm,124 cm
29-Dec-12,3 cm,1153 cm,122 cm
3-Jan-11,10 cm,10 cm,173 cm
5-Jan-11,13 cm,23 cm,175 cm
6-Jan-11,10 cm,33 cm,180 cm
9-Jan-11,3 cm,36 cm,170 cm
10-Jan-11,3 cm,39 cm,168 cm
11-Jan-11,8 cm,47 cm,173 cm
13-Jan-11,13 cm,60 cm,175 cm
14-Jan-11,18 cm,78 cm,188 cm
15-Jan-11,5 cm,83 cm,183 cm
16-Jan-11,10 cm,93 cm,193 cm
17-Jan-11,20 cm,113 cm,203 cm
18-Jan-11,18 cm,131 cm,211 cm
19-Jan-11,30 cm,161 cm,229 cm
20-Jan-11,8 cm,169 cm,224 cm
21-Jan-11,10 cm,179 cm,216 cm
22-Jan-11,20 cm,199 cm,229 cm
23-Jan-11,3 cm,202 cm,224 cm
24-Jan-11,13 cm,215 cm,229 cm
26-Jan-11,3 cm,218 cm,218 cm
31-Jan-11,3 cm,221 cm,198 cm
1-Feb-11,3 cm,224 cm,203 cm
5-Feb-11,10 cm,234 cm,198 cm
6-Feb-11,5 cm,239 cm,208 cm
7-Feb-11,15 cm,254 cm,221 cm
8-Feb-11,13 cm,267 cm,224 cm
10-Feb-11,3 cm,270 cm,216 cm
11-Feb-11,5 cm,275 cm,208 cm
17-Feb-11,15 cm,290 cm,198 cm
18-Feb-11,10 cm,300 cm,206 cm
19-Feb-11,3 cm,303 cm,203 cm
20-Feb-11,23 cm,326 cm,213 cm
21-Feb-11,38 cm,364 cm,234 cm
22-Feb-11,5 cm,369 cm,226 cm
23-Feb-11,10 cm,379 cm,231 cm
24-Feb-11,5 cm,384 cm,226 cm
25-Feb-11,10 cm,394 cm,229 cm
26-Feb-11,10 cm,404 cm,236 cm
3-Mar-11,15 cm,419 cm,229 cm
4-Mar-11,20 cm,439 cm,231 cm
5-Mar-11,3 cm,442 cm,229 cm
6-Mar-11,36 cm,478 cm,257 cm
7-Mar-11,10 cm,488 cm,251 cm
8-Mar-11,8 cm,496 cm,249 cm
9-Mar-11,13 cm,509 cm,259 cm
10-Mar-11,5 cm,514 cm,254 cm
11-Mar-11,15 cm,529 cm,249 cm
12-Mar-11,3 cm,532 cm,244 cm
15-Mar-11,13 cm,545 cm,244 cm
16-Mar-11,10 cm,555 cm,246 cm
17-Mar-11,43 cm,598 cm,272 cm
20-Mar-11,8 cm,606 cm,259 cm
21-Mar-11,15 cm,621 cm,264 cm
22-Mar-11,15 cm,636 cm,267 cm
23-Mar-11,56 cm,692 cm,302 cm
25-Mar-11,13 cm,705 cm,287 cm
26-Mar-11,18 cm,723 cm,287 cm
27-Mar-11,13 cm,736 cm,290 cm
28-Mar-11,20 cm,756 cm,295 cm
29-Mar-11,13 cm,769 cm,295 cm
30-Mar-11,25 cm,794 cm,312 cm
31-Mar-11,18 cm,812 cm,310 cm
3-Apr-11,10 cm,822 cm,274 cm
12-Oct-11,3 cm,825 cm,0 cm
13-Oct-11,10 cm,835 cm,0 cm
2-Nov-11,3 cm,838 cm,0 cm
7-Nov-11,8 cm,846 cm,3 cm
14-Nov-11,8 cm,854 cm,23 cm
18-Nov-11,33 cm,887 cm,15 cm
19-Nov-11,33 cm,920 cm,36 cm
20-Nov-11,3 cm,923 cm,33 cm
23-Nov-11,3 cm,926 cm,64 cm
24-Nov-11,5 cm,931 cm,64 cm
26-Nov-11,8 cm,939 cm,64 cm
1-Dec-11,5 cm,944 cm,56 cm
3-Dec-11,5 cm,949 cm,56 cm
4-Dec-11,3 cm,952 cm,56 cm
5-Dec-11,3 cm,955 cm,56 cm
8-Dec-11,5 cm,960 cm,56 cm
14-Dec-11,3 cm,963 cm,56 cm
15-Dec-11,3 cm,966 cm,61 cm
16-Dec-11,8 cm,974 cm,61 cm
22-Dec-11,8 cm,982 cm,64 cm
28-Dec-11,13 cm,995 cm,58 cm
29-Dec-11,30 cm,1025 cm,89 cm
30-Dec-11,30 cm,1055 cm,89 cm
31-Dec-11,25 cm,1080 cm,112 cm
1-Jan-10,23 cm,23 cm,84 cm
2-Jan-10,25 cm,48 cm,99 cm
3-Jan-10,8 cm,56 cm,99 cm
4-Jan-10,5 cm,61 cm,97 cm
5-Jan-10,8 cm,69 cm,94 cm
6-Jan-10,25 cm,94 cm,112 cm
7-Jan-10,3 cm,97 cm,107 cm
13-Jan-10,3 cm,100 cm,94 cm
19-Jan-10,10 cm,110 cm,91 cm
20-Jan-10,5 cm,115 cm,97 cm
21-Jan-10,8 cm,123 cm,102 cm
22-Jan-10,15 cm,138 cm,104 cm
23-Jan-10,43 cm,181 cm,127 cm
24-Jan-10,51 cm,232 cm,155 cm
25-Jan-10,15 cm,247 cm,157 cm
26-Jan-10,10 cm,257 cm,152 cm
27-Jan-10,13 cm,270 cm,152 cm
28-Jan-10,8 cm,278 cm,150 cm
31-Jan-10,3 cm,281 cm,130 cm
1-Feb-10,46 cm,327 cm,157 cm
2-Feb-10,3 cm,330 cm,152 cm
3-Feb-10,3 cm,333 cm,147 cm
4-Feb-10,13 cm,346 cm,152 cm
5-Feb-10,13 cm,359 cm,155 cm
6-Feb-10,18 cm,377 cm,160 cm
11-Feb-10,15 cm,392 cm,145 cm
12-Feb-10,13 cm,405 cm,147 cm
13-Feb-10,25 cm,430 cm,160 cm
15-Feb-10,3 cm,433 cm,152 cm
16-Feb-10,5 cm,438 cm,155 cm
20-Feb-10,10 cm,448 cm,142 cm
21-Feb-10,3 cm,451 cm,140 cm
25-Feb-10,23 cm,474 cm,155 cm
26-Feb-10,3 cm,477 cm,155 cm
3-Mar-10,3 cm,480 cm,140 cm
4-Mar-10,3 cm,483 cm,135 cm
5-Mar-10,3 cm,486 cm,135 cm
8-Mar-10,5 cm,491 cm,130 cm
10-Mar-10,3 cm,494 cm,130 cm
14-Mar-10,5 cm,499 cm,127 cm
23-Mar-10,15 cm,514 cm,114 cm
26-Mar-10,15 cm,529 cm,132 cm
27-Mar-10,13 cm,542 cm,132 cm
31-Mar-10,41 cm,583 cm,157 cm
1-Apr-10,3 cm,586 cm,150 cm
2-Apr-10,25 cm,611 cm,163 cm
3-Apr-10,18 cm,629 cm,165 cm
4-Apr-10,20 cm,649 cm,188 cm
25-Oct-10,41 cm,690 cm,5 cm
28-Oct-10,18 cm,708 cm,13 cm
1-Nov-10,15 cm,723 cm,0 cm
9-Nov-10,10 cm,733 cm,0 cm
