Date,24 hr New Snow,Season Snowfall Total,Base Depth
12-Dec-13,4 cm,380 cm,79 cm
17-Dec-13,1 cm,381 cm,85 cm
18-Dec-13,1 cm,382 cm,84 cm
20-Dec-13,7 cm,389 cm,90 cm
22-Dec-13,1 cm,390 cm,90 cm
23-Dec-13,6 cm,396 cm,96 cm
26-Dec-13,1 cm,397 cm,92 cm
27-Dec-13,3 cm,400 cm,90 cm
3-Jan-12,3 cm,3 cm,165 cm
4-Jan-12,36 cm,39 cm,193 cm
5-Jan-12,28 cm,67 cm,193 cm
6-Jan-12,3 cm,70 cm,102 cm
7-Jan-12,3 cm,73 cm,102 cm
8-Jan-12,3 cm,76 cm,102 cm
9-Jan-12,5 cm,81 cm,198 cm
10-Jan-12,3 cm,84 cm,201 cm
14-Jan-12,8 cm,92 cm,102 cm
17-Jan-12,3 cm,95 cm,102 cm
18-Jan-12,3 cm,98 cm,102 cm
20-Jan-12,3 cm,101 cm,102 cm
21-Jan-12,23 cm,124 cm,102 cm
22-Jan-12,5 cm,129 cm,102 cm
23-Jan-12,28 cm,157 cm,221 cm
24-Jan-12,10 cm,167 cm,231 cm
25-Jan-12,20 cm,187 cm,244 cm
26-Jan-12,15 cm,202 cm,244 cm
30-Jan-12,10 cm,212 cm,229 cm
31-Jan-12,8 cm,220 cm,229 cm
1-Feb-12,13 cm,233 cm,251 cm
9-Feb-12,5 cm,238 cm,190 cm
10-Feb-12,3 cm,241 cm,190 cm
11-Feb-12,3 cm,244 cm,190 cm
12-Feb-12,3 cm,247 cm,190 cm
13-Feb-12,3 cm,250 cm,190 cm
16-Feb-12,2 cm,252 cm,190 cm
17-Feb-12,5 cm,257 cm,190 cm
18-Feb-12,25 cm,282 cm,190 cm
19-Feb-12,3 cm,285 cm,190 cm
20-Feb-12,5 cm,290 cm,190 cm
21-Feb-12,3 cm,293 cm,190 cm
22-Feb-12,5 cm,298 cm,190 cm
23-Feb-12,5 cm,303 cm,190 cm
24-Feb-12,8 cm,311 cm,190 cm
26-Feb-12,15 cm,326 cm,190 cm
29-Feb-12,10 cm,336 cm,190 cm
1-Mar-12,3 cm,339 cm,190 cm
2-Mar-12,3 cm,342 cm,190 cm
3-Mar-12,3 cm,345 cm,190 cm
4-Mar-12,3 cm,348 cm,190 cm
5-Mar-12,18 cm,366 cm,190 cm
6-Mar-12,18 cm,384 cm,190 cm
10-Mar-12,33 cm,417 cm,229 cm
11-Mar-12,30 cm,447 cm,229 cm
12-Mar-12,10 cm,457 cm,229 cm
13-Mar-12,43 cm,500 cm,305 cm
14-Mar-12,10 cm,510 cm,305 cm
15-Mar-12,36 cm,546 cm,305 cm
16-Mar-12,20 cm,566 cm,305 cm
17-Mar-12,10 cm,576 cm,305 cm
18-Mar-12,13 cm,589 cm,305 cm
19-Mar-12,13 cm,602 cm,305 cm
20-Mar-12,13 cm,615 cm,305 cm
21-Mar-12,13 cm,628 cm,305 cm
28-Mar-12,15 cm,643 cm,305 cm
29-Mar-12,52 cm,695 cm,305 cm
30-Mar-12,23 cm,718 cm,356 cm
1-Apr-12,13 cm,731 cm,356 cm
2-Apr-12,8 cm,739 cm,356 cm
3-Apr-12,43 cm,782 cm,356 cm
4-Apr-12,30 cm,812 cm,356 cm
12-Apr-12,5 cm,817 cm,305 cm
20-Apr-12,20 cm,837 cm,124 cm
27-Apr-12,3 cm,840 cm,115 cm
2-May-12,3 cm,843 cm,114 cm
3-May-12,3 cm,846 cm,114 cm
4-May-12,3 cm,849 cm,114 cm
18-Nov-12,32 cm,881 cm,0 cm
19-Nov-12,25 cm,906 cm,0 cm
20-Nov-12,12 cm,918 cm,0 cm
21-Nov-12,25 cm,943 cm,0 cm
22-Nov-12,2 cm,945 cm,0 cm
23-Nov-12,25 cm,970 cm,0 cm
24-Nov-12,8 cm,978 cm,25 cm
29-Nov-12,23 cm,1001 cm,25 cm
1-Dec-12,40 cm,1041 cm,25 cm
2-Dec-12,28 cm,1069 cm,40 cm
3-Dec-12,22 cm,1091 cm,40 cm
5-Dec-12,14 cm,1105 cm,40 cm
6-Dec-12,5 cm,1110 cm,40 cm
7-Dec-12,8 cm,1118 cm,40 cm
10-Dec-12,1 cm,1119 cm,40 cm
11-Dec-12,2 cm,1121 cm,40 cm
13-Dec-12,1 cm,1122 cm,40 cm
15-Dec-12,1 cm,1123 cm,40 cm
16-Dec-12,14 cm,1137 cm,40 cm
