Resort,Zip,Years,Visits
Teton Pass,59422,44656,"1,296"
Teton Pass,59422,44687,"2,716"
Teton Pass,59422,44719,"4,536"
Teton Pass,59422,44750,"4,855"
Teton Pass,59422,44782,"2,931"
Teton Pass,59422,44814,0
Teton Pass,59422,44845,0
Teton Pass,59422,44877,0
Teton Pass,59422,44908,"6,097"
Teton Pass,59422,13-14,"5,750"
Teton Pass,59422,14-15,"5,692"
Teton Pass,59422,15-16,"5,116"
Teton Pass,59422,16-17,"7,034"
Teton Pass,59422,17-18,0
Teton Pass,59422,19-20,"4,434"
Teton Pass,59422,20-21,"4,600"
Turner Mountain,59923,88-89,"1,350"
Turner Mountain,59923,89-90,"1,890"
Turner Mountain,59923,90-91,"2,030"
Turner Mountain,59923,91-92,945
Turner Mountain,59923,92-93,"2,926"
Turner Mountain,59923,93-94,"2,598"
Turner Mountain,59923,94-95,"2,093"
Turner Mountain,59923,95-96,"2,600"
Turner Mountain,59923,96-97,"4,043"
Turner Mountain,59923,97-98,"2,243"
Turner Mountain,59923,98-99,"3,892"
Turner Mountain,59923,99-00,"4,075"
Turner Mountain,59923,00-01,"3,571"
Turner Mountain,59923,44563,"5,596"
Turner Mountain,59923,44595,"2,639"
Turner Mountain,59923,44624,"5,109"
Turner Mountain,59923,44656,309
Turner Mountain,59923,44687,"3,306"
Turner Mountain,59923,44719,"4,070"
Turner Mountain,59923,44750,"5,872"
Turner Mountain,59923,44782,"4,046"
Turner Mountain,59923,44814,"2,249"
Turner Mountain,59923,44845,"5,702"
Turner Mountain,59923,44877,"4,058"
Turner Mountain,59923,44908,"4,371"
Turner Mountain,59923,13-14,"4,250"
Turner Mountain,59923,14-15,"1,337"
Turner Mountain,59923,15-16,"3,191"
Turner Mountain,59923,16-17,"3,906"
Turner Mountain,59923,17-18,"4,635"
Turner Mountain,59923,18-19,"5,459"
Turner Mountain,59923,19-20,"2,879"
Turner Mountain,59923,20-21,"4,661"
Whitefish,59937,88-89,"265,416"
Whitefish,59937,89-90,"271,884"
Whitefish,59937,90-91,"288,056"
Whitefish,59937,91-92,"279,808"
Whitefish,59937,92-93,"291,554"
Whitefish,59937,93-94,"265,798"
Whitefish,59937,94-95,"296,909"
Whitefish,59937,95-96,"241,179"
Whitefish,59937,96-97,"270,527"
